age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_50_54,Nebraska,31,116,145,261,46.1038257766936,38.8176766963064,53.3899748570808,.,.,.
_55_59,Nebraska,31,109,127,236,42.8171479438603,34.6273491999737,51.0069466877468,.,.,.
_60_65,Nebraska,31,169,267,436,39.729500156041,34.0732421779327,45.3857581341493,.,.,.
_21_24,Nevada,32,7,36,43,.,.,.,.,.,.
_25_29,Nevada,32,28,46,74,37.4421989209338,21.3224849133366,53.5619129285311,.,.,.
_30_34,Nevada,32,43,52,95,47.4216515912852,33.2651918050661,61.5781113775042,.,.,.
_35_39,Nevada,32,29,55,84,21.0344428299897,11.6056340947323,30.4632515652471,.,.,.
_40_44,Nevada,32,48,51,99,46.6381561882055,33.2329620577829,60.043350318628,.,.,.
_45_49,Nevada,32,25,45,70,40.9400812498189,17.0257920361694,64.8543704634683,.,.,.
_50_54,Nevada,32,61,58,119,50.2054565256723,36.7825573718879,63.6283556794568,.,.,.
_55_59,Nevada,32,58,67,125,45.2354139190956,32.7274320415923,57.7433957965989,.,.,.
_60_65,Nevada,32,59,100,159,40.0557239570437,28.771388179704,51.3400597343833,.,.,.
_21_24,"New Hampshire",33,9,28,37,.,.,.,.,.,.
_25_29,"New Hampshire",33,27,29,56,49.8708156279874,33.3813919088018,66.360239347173,.,.,.
_30_34,"New Hampshire",33,43,56,99,44.0266640720318,32.3883774739704,55.6649506700933,.,.,.
_35_39,"New Hampshire",33,42,41,83,50.9461410175608,39.2811734385284,62.6111085965931,.,.,.
_40_44,"New Hampshire",33,60,49,109,52.6007873575106,43.961608872089,61.2399658429321,.,.,.
_45_49,"New Hampshire",33,81,50,131,61.0508091243343,51.4828845790541,70.6187336696144,.,.,.
_50_54,"New Hampshire",33,117,83,200,58.5240655012401,50.7487259458186,66.2994050566616,.,.,.
_55_59,"New Hampshire",33,153,125,278,56.3599170693704,49.8117454247904,62.9080887139504,.,.,.
_60_65,"New Hampshire",33,248,227,475,51.0592605435469,45.3925101438696,56.7260109432242,.,.,.
_21_24,"New Jersey",34,34,107,141,19.5195902810041,13.26723429627,25.7719462657383,.,.,.
_25_29,"New Jersey",34,67,106,173,41.2989269277453,32.0849689088703,50.5128849466203,.,.,.
_30_34,"New Jersey",34,74,111,185,37.1755317930209,28.9007220045287,45.4503415815131,.,.,.
_35_39,"New Jersey",34,120,136,256,40.9960942369902,32.7449008579245,49.2472876160558,.,.,.
_40_44,"New Jersey",34,134,93,227,58.2715436839071,49.7947638674689,66.7483235003453,.,.,.
_45_49,"New Jersey",34,155,97,252,59.8819253774883,52.0739862996504,67.6898644553261,.,.,.
_50_54,"New Jersey",34,168,117,285,56.7290683638647,49.2881285136655,64.1700082140639,.,.,.
_55_59,"New Jersey",34,180,110,290,61.4705764942647,54.2579775120668,68.6831754764625,.,.,.
_60_65,"New Jersey",34,222,195,417,51.8643596114567,44.4637218086577,59.2649974142556,.,.,.
_21_24,"New Mexico",35,8,44,52,.,.,.,.,.,.
_25_29,"New Mexico",35,40,55,95,45.7807667089627,32.9640306998318,58.5975027180937,.,.,.
_30_34,"New Mexico",35,41,67,108,35.6513618449616,24.8930407028653,46.4096829870578,.,.,.
_35_39,"New Mexico",35,55,64,119,48.5401125481023,36.5289244206488,60.5513006755558,.,.,.
_40_44,"New Mexico",35,75,80,155,48.7159343915374,38.3813502276026,59.0505185554721,.,.,.
_45_49,"New Mexico",35,67,74,141,50.6208030732762,38.7701141553798,62.4714919911727,.,.,.
_50_54,"New Mexico",35,73,89,162,45.5363768338551,35.5592102225714,55.5135434451388,.,.,.
_55_59,"New Mexico",35,79,122,201,40.234317149155,30.945243192744,49.5233911055659,.,.,.
_60_65,"New Mexico",35,118,178,296,39.21723017014,31.7778849263639,46.6565754139161,.,.,.
