income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Don’t know/Not sure/Missing",Indiana,18,20,40,60,35.1412359042144,23.4464743840334,46.8359974243954,29.0334587652087,18.0996281237382,39.9672894066791
"Less than $15,000",Iowa,19,7,32,39,.,.,.,.,.,.
"$15,000 to < $25,000",Iowa,19,11,49,60,.,.,.,.,.,.
"$25,000 to < $35,000",Iowa,19,22,40,62,40.034477768111,24.8931426869142,55.1758128493078,.,.,.
"$35,000 to < $50,000",Iowa,19,15,33,48,32.3700125035742,17.0710658255379,47.6689591816105,31.762494032549,19.0074545680352,44.5175334970628
"$50,000 to < $75,000",Iowa,19,19,37,56,37.1937116998381,19.2824675144639,55.1049558852123,.,.,.
"$75,000 to < $100,000",Iowa,19,12,23,35,37.0664415930314,22.9250555624402,51.2078276236226,36.6738454200571,17.6473657755133,55.7003250646009
"$100,000 to < $200,000",Iowa,19,7,17,24,.,.,.,.,.,.
"$200,000 or more",Iowa,19,2,1,3,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Iowa,19,13,27,40,34.4417245330291,16.1952585798432,52.688190486215,.,.,.
"Less than $15,000",Kansas,20,15,25,40,43.398480629687,27.7127274937371,59.0842337656369,42.7531827689223,34.5669455090135,50.9394200288312
"$15,000 to < $25,000",Kansas,20,24,51,75,41.6589043102822,23.8336582017086,59.4841504188557,42.9514791773738,22.9583301536197,62.944628201128
"$25,000 to < $35,000",Kansas,20,20,41,61,41.9310608263966,22.224520854299,61.6376007984941,32.6433017078216,18.2493441712697,47.0372592443735
"$35,000 to < $50,000",Kansas,20,17,63,80,21.1729693701258,9.9791478698869,32.3667908703646,.,.,.
